"order_id","region","destination_city","category","payment_method","sales_amount","quantity","return_status","customer_type","order_date","discount_pct"
ORD-100115,Northeast,Pittsburgh,Fashion,Debit Card,46.94000,1,Not Returned,Returning,2025-09-13,10
ORD-100116,Midwest,Detroit,Electronics,Credit Card,282.09000,2,Exchange,Returning,2025-12-22,0
ORD-100117,West,San Francisco,Home,Credit Card,66.65000,1,Not Returned,Returning,2025-09-18,0
ORD-100118,Northeast,Newark,Fashion,Buy Now Pay Later,105.15000,2,Not Returned,Returning,2025-12-05,5
ORD-100119,Northeast,Philadelphia,Home,Credit Card,74.07000,1,Not Returned,Returning,2025-08-14,5
ORD-100120,West,Seattle,Electronics,Credit Card,1126.90000,4,Returned,New,2024-05-09,0
ORD-100121,South,Atlanta,Home,Credit Card,366.73000,1,Not Returned,Loyal,2025-11-15,30
ORD-100122,Midwest,St. Louis,Home,Credit Card,57.53000,1,Not Returned,Returning,2025-03-18,0
ORD-100123,South,Houston,Sports,Buy Now Pay Later,102.84000,1,Not Returned,Returning,2025-01-02,15
ORD-100124,South,Houston,Pet Supplies,Paypal,32.62000,1,Returned,Returning,2025-09-17,15
ORD-100125,South,,Fashion,Credit Card,108.36000,3,Returned,Returning,2025-06-27,0
ORD-100126,West,Seattle,Electronics,Paypal,182.60000,1,Not Returned,New,2024-11-07,10
ORD-100127,Northeast,Boston,Office Supplies,Credit Card,14.33000,1,Not Returned,New,2024-09-03,15
ORD-100128,West,Seattle,Electronics,Apple Pay,725.73000,5,Not Returned,Returning,2024-04-21,10
ORD-100129,Midwest,Detroit,Office Supplies,Credit Card,156.53000,5,Not Returned,New,2024-03-01,5
ORD-100130,South,Dallas,Electronics,Debit Card,149.16000,1,Returned,Returning,2025-11-27,10
ORD-100131,South,Houston,Pet Supplies,Paypal,168.35000,4,Not Returned,Returning,2025-10-17,0
ORD-100132,Midwest,Minneapolis,Fashion,Apple Pay,98.18000,2,Not Returned,Returning,2024-10-23,10
ORD-100133,Midwest,Chicago,Fashion,Credit Card,90.08000,2,Not Returned,Loyal,2024-09-12,20
ORD-100134,Midwest,Columbus,Fashion,Credit Card,53.86000,1,Not Returned,Returning,2024-09-18,0
ORD-100135,Northeast,Buffalo,Home,Credit Card,91.20000,2,Exchange,Returning,2024-12-24,5
ORD-100136,South,Houston,Fashion,Credit Card,54.19000,1,Not Returned,Loyal,2024-09-01,0
ORD-100137,West,San Diego,Electronics,Credit Card,169.29000,1,Not Returned,Returning,2025-04-25,0
ORD-100138,Midwest,St. Louis,Pet Supplies,Credit Card,46.01000,1,Not Returned,Returning,2024-08-02,0
ORD-100139,South,Charlotte,Toys,Debit Card,44.11000,1,Returned,Returning,2024-08-16,0
ORD-100140,South,Miami,Office Supplies,Credit Card,25.72000,1,Not Returned,Returning,2025-11-14,20
ORD-100141,South,Miami,Home,Credit Card,178.86000,1,Not Returned,Returning,2025-11-05,20
ORD-100142,West,San Francisco,Office Supplies,Credit Card,26.97000,1,Not Returned,Returning,2025-08-15,10
ORD-100143,Northeast,Newark,Pet Supplies,Paypal,78.86000,1,Not Returned,New,2024-06-04,
ORD-100144,Midwest,Indianapolis,Home,Paypal,56.72000,2,Not Returned,Returning,2025-05-06,0
ORD-100145,South,Charlotte,Fashion,Credit Card,811.55000,3,Not Returned,Loyal,2024-05-26,15
ORD-100146,Northeast,Newark,Electronics,Credit Card,322.45000,2,Not Returned,Returning,2024-08-06,10
ORD-100147,Northeast,New York,Toys,Credit Card,149.28000,5,Not Returned,Returning,2025-07-29,10
ORD-100148,Northeast,Newark,Sports,Credit Card,61.03000,1,Not Returned,Returning,2024-03-28,5
ORD-100149,South,Houston,Sports,Credit Card,70.76000,1,Not Returned,Returning,2024-11-07,5
ORD-100150,Northeast,Boston,Toys,Credit Card,94.57000,1,Not Returned,Returning,2025-06-28,20
ORD-100151,Northeast,Philadelphia,Sports,Credit Card,261.27000,2,Not Returned,Returning,2025-12-06,0
ORD-100152,West,San Diego,Fashion,Paypal,78.88000,1,Not Returned,Loyal,2025-12-17,0
ORD-100153,South,Dallas,Fashion,Paypal,123.40000,2,Not Returned,Returning,2025-09-27,10
ORD-100154,Midwest,Minneapolis,Electronics,Credit Card,845.95000,2,Not Returned,Returning,2025-06-11,0
ORD-100155,South,Houston,Sports,Credit Card,70.40000,1,Not Returned,Returning,2024-02-10,5
ORD-100156,South,Charlotte,Toys,Credit Card,59.62000,2,Not Returned,Returning,2025-10-01,10
ORD-100157,Midwest,Chicago,Electronics,Paypal,94.89000,1,Not Returned,New,2024-05-03,5
ORD-100158,Midwest,Indianapolis,Home,Credit Card,249.04000,3,Exchange,New,2025-07-30,20
ORD-100159,South,Charlotte,Toys,Debit Card,125.86000,2,Not Returned,New,2025-02-12,15
ORD-100160,West,Seattle,Beauty,Debit Card,16.17000,1,Not Returned,Returning,2024-03-15,5
ORD-100161,West,Phoenix,Toys,Buy Now Pay Later,32.22000,1,,Returning,2025-04-02,5
ORD-100162,West,Los Angeles,Fashion,Credit Card,117.46000,2,Not Returned,Returning,2025-09-21,20
ORD-100163,South,Atlanta,Toys,Debit Card,60.44000,1,Not Returned,New,2025-01-24,15
ORD-100164,West,Seattle,Toys,Debit Card,108.41000,2,Not Returned,Returning,2024-08-23,5
ORD-100165,Northeast,Buffalo,Sports,Credit Card,65.29000,1,Not Returned,Returning,2025-08-17,10
ORD-100166,South,Nashville,Fashion,Credit Card,55.76000,1,Exchange,Returning,2024-04-02,5
ORD-100167,Midwest,Chicago,Electronics,Paypal,57.84000,1,Not Returned,Loyal,2025-07-13,15
ORD-100168,Northeast,Philadelphia,Electronics,Credit Card,279.43000,2,Not Returned,Loyal,2025-06-26,5
ORD-100169,West,Las Vegas,Fashion,Apple Pay,247.13000,2,Exchange,Returning,2025-03-12,20
ORD-100170,West,Las Vegas,Toys,Debit Card,71.96000,2,Not Returned,New,2025-08-18,15
ORD-100171,Midwest,Indianapolis,Fashion,Paypal,133.62000,3,Returned,Returning,2025-04-26,20
ORD-100172,West,Los Angeles,Home,Paypal,200.10000,2,Not Returned,New,2024-11-09,25
ORD-100173,West,San Diego,Sports,Debit Card,131.61000,1,Not Returned,Loyal,2025-06-29,0
ORD-100174,West,Las Vegas,Toys,Debit Card,70.36000,2,Returned,New,2024-04-06,10
ORD-100175,Northeast,Buffalo,Fashion,Debit Card,66.69000,1,Not Returned,New,2025-04-08,0
ORD-100176,Midwest,Chicago,Electronics,Credit Card,98.54000,1,Not Returned,Returning,2025-05-26,5
ORD-100177,Northeast,Newark,Home,Credit Card,79.32000,1,Not Returned,New,2024-01-10,10
ORD-100178,Northeast,New York,Fashion,Debit Card,54.46000,1,Returned,Returning,2024-06-14,0
ORD-100179,South,Nashville,Sports,Credit Card,68.30000,2,Not Returned,New,2024-12-18,15
ORD-100180,South,Houston,Electronics,Credit Card,438.46000,3,Not Returned,Returning,2025-01-22,0
ORD-100181,West,Phoenix,Home,Credit Card,207.88000,2,Returned,Returning,2024-03-14,10
ORD-100182,Midwest,Detroit,Sports,,495.95000,4,Not Returned,New,2025-06-17,15
ORD-100183,South,Miami,Toys,Debit Card,191.02000,2,Not Returned,Returning,2024-04-25,20
ORD-100184,Northeast,New York,Fashion,Debit Card,60.95000,2,Not Returned,Returning,2024-08-20,15
ORD-100185,Northeast,Newark,Office Supplies,Apple Pay,37.53000,1,Not Returned,New,2024-12-10,0
ORD-100186,Northeast,Boston,Electronics,Gift Card,144.63000,1,Not Returned,Loyal,2025-08-10,0
ORD-100187,Northeast,Boston,Electronics,Paypal,825.49000,5,Returned,New,2024-12-02,15
ORD-100188,West,Las Vegas,Beauty,Credit Card,27.46000,1,Not Returned,Loyal,2025-06-02,5
ORD-100189,Northeast,Newark,Toys,Gift Card,126.71000,3,Returned,New,2025-03-18,20
ORD-100190,Northeast,New York,Electronics,Credit Card,90.40000,1,Not Returned,Returning,2024-09-25,0
ORD-100191,West,Seattle,Fashion,Debit Card,53.72000,1,Not Returned,Returning,2025-07-11,5
ORD-100192,West,Las Vegas,Fashion,Credit Card,198.70000,2,Returned,New,2024-08-17,0
ORD-100193,Midwest,Chicago,Electronics,Credit Card,268.97000,2,Not Returned,Loyal,2025-04-22,0
ORD-100194,West,Seattle,Fashion,Credit Card,93.60000,1,Not Returned,Loyal,2024-07-14,0
ORD-100195,Midwest,,Toys,Debit Card,113.94000,3,Returned,Returning,2025-02-24,0
ORD-100196,Midwest,St. Louis,Sports,Credit Card,39.18000,1,Not Returned,New,2025-08-30,5
ORD-100197,South,Miami,Fashion,Debit Card,35.17000,1,Not Returned,Loyal,2025-04-07,10
ORD-100198,West,Los Angeles,Electronics,Credit Card,455.07000,2,Not Returned,New,2025-12-09,20
ORD-100199,West,San Francisco,Beauty,Gift Card,44.65000,1,Not Returned,Returning,2025-07-28,20
ORD-100200,South,Atlanta,Office Supplies,Credit Card,40.77000,2,Returned,New,2025-06-10,0
ORD-100201,Northeast,Philadelphia,Fashion,Debit Card,176.25000,2,Exchange,Returning,2025-12-23,25
ORD-100202,South,Atlanta,Sports,Debit Card,661.74000,3,Not Returned,Returning,2024-10-17,20
ORD-100203,West,San Diego,Electronics,Credit Card,584.16000,4,Returned,Loyal,2025-03-09,0
ORD-100204,Midwest,Minneapolis,Pet Supplies,Credit Card,57.10000,1,Not Returned,Returning,2025-10-18,5
ORD-100205,Midwest,St. Louis,Pet Supplies,Credit Card,28.55000,1,Returned,New,2025-06-07,15
ORD-100206,West,San Francisco,Electronics,Credit Card,106.06000,1,Not Returned,Loyal,2024-09-15,5
ORD-100207,West,Phoenix,Electronics,Paypal,476.41000,4,Not Returned,Returning,2025-01-01,10
ORD-100208,South,Charlotte,Electronics,Credit Card,80.16000,1,Not Returned,Returning,2024-11-02,10
ORD-100209,West,Los Angeles,Home,Paypal,693.74000,5,Not Returned,New,2024-08-29,5
ORD-100210,Midwest,Detroit,Toys,Credit Card,65.13000,1,Not Returned,Loyal,2025-01-03,15
ORD-100211,South,Houston,Fashion,Paypal,117.56000,1,Not Returned,Returning,2024-10-05,0
ORD-100212,South,Dallas,Office Supplies,Gift Card,25.02000,1,Not Returned,New,2025-10-24,0
ORD-100213,South,Houston,Electronics,Credit Card,178.61000,1,Not Returned,Returning,2024-12-23,10
ORD-100214,South,Charlotte,Beauty,Debit Card,114.45000,2,Returned,New,2025-04-12,10
ORD-100215,South,,Electronics,Credit Card,173.89000,1,Not Returned,Returning,2024-05-08,10
ORD-100216,Midwest,Detroit,Home,Debit Card,101.06000,1,Returned,Loyal,2025-11-14,0
ORD-100217,Midwest,St. Louis,Office Supplies,,117.63000,3,Not Returned,Returning,2025-10-04,10
ORD-100218,Northeast,Newark,Home,Credit Card,95.01000,1,Not Returned,Returning,2024-03-28,0
ORD-100219,Northeast,Buffalo,Electronics,Credit Card,102.25000,1,,Returning,2025-03-02,5
ORD-100220,Northeast,New York,Fashion,Credit Card,108.83000,2,Not Returned,Returning,2025-01-03,0
ORD-100221,Midwest,Minneapolis,Fashion,Gift Card,317.59000,4,Not Returned,Returning,2024-03-02,0
ORD-100222,South,Miami,Toys,Paypal,120.38000,3,Not Returned,Returning,2025-02-13,10
ORD-100223,Midwest,Detroit,Office Supplies,Paypal,23.51000,1,,Returning,2024-01-09,0
ORD-100224,South,Dallas,Fashion,,237.75000,4,Not Returned,Loyal,2024-07-20,20
ORD-100225,Midwest,St. Louis,Home,Credit Card,76.49000,1,Not Returned,New,2025-09-24,15
ORD-100226,West,Los Angeles,Beauty,Debit Card,40.26000,2,Not Returned,New,2024-09-25,0
ORD-100227,Midwest,Detroit,Home,Buy Now Pay Later,173.32000,1,Not Returned,Returning,2024-11-04,5
ORD-100228,West,Los Angeles,Fashion,Credit Card,82.65000,1,Not Returned,New,2025-09-24,0
ORD-100229,West,Las Vegas,Office Supplies,Credit Card,12.52000,1,Not Returned,Returning,2024-07-09,10
ORD-100230,West,Seattle,Home,Credit Card,216.80000,4,Not Returned,New,2024-01-01,0
ORD-100231,South,,Electronics,Gift Card,1216.61000,4,Returned,New,2024-11-10,20
ORD-100232,Midwest,Minneapolis,Home,Paypal,121.36000,1,Not Returned,Loyal,2025-01-01,20
ORD-100233,South,Atlanta,Pet Supplies,Credit Card,36.37000,1,Returned,Returning,2025-06-21,10
ORD-100234,Northeast,Pittsburgh,Fashion,Credit Card,100.39000,2,Not Returned,Loyal,2025-06-15,15
ORD-100235,Midwest,Columbus,Fashion,Credit Card,70.08000,1,Returned,Returning,2025-01-06,0
ORD-100236,South,Nashville,Electronics,Debit Card,215.93000,2,Not Returned,Returning,2024-02-06,0
ORD-100237,Northeast,Boston,Toys,Apple Pay,50.30000,1,Not Returned,New,2025-11-03,10
ORD-100238,South,Miami,Electronics,,380.44000,2,Not Returned,New,2024-02-24,10
ORD-100239,West,Seattle,Fashion,Credit Card,68.37000,1,Not Returned,Loyal,2025-04-06,5
ORD-100240,West,Phoenix,Electronics,Credit Card,215.19000,3,Not Returned,Loyal,2025-04-02,5
ORD-100241,Midwest,Indianapolis,Home,Buy Now Pay Later,151.57000,1,Not Returned,New,2024-02-28,15
ORD-100242,Northeast,Buffalo,Fashion,Credit Card,111.92000,2,Not Returned,Returning,2025-12-19,10
ORD-100243,West,San Francisco,Office Supplies,Paypal,23.03000,2,Not Returned,Returning,2024-10-07,
ORD-100244,West,Los Angeles,Electronics,Paypal,137.10000,1,Not Returned,Returning,2025-12-04,10
ORD-100245,South,Dallas,Electronics,Credit Card,260.08000,2,Not Returned,Returning,2025-10-14,15
ORD-100246,West,Los Angeles,Electronics,Credit Card,315.04000,2,Not Returned,Returning,2024-05-27,
ORD-100247,West,Seattle,Beauty,Credit Card,65.24000,2,Not Returned,New,2024-12-15,5
ORD-100248,Midwest,Chicago,Office Supplies,Credit Card,88.93000,4,Not Returned,Returning,2024-12-24,20
ORD-100249,Northeast,Pittsburgh,Beauty,Credit Card,129.88000,2,Not Returned,Loyal,2024-07-06,
ORD-100250,West,Phoenix,Electronics,Paypal,225.05000,1,Not Returned,Returning,2025-09-15,0
ORD-100251,South,Charlotte,Sports,Debit Card,22.20000,1,Not Returned,Returning,2024-09-06,15
ORD-100252,Northeast,Newark,Electronics,Apple Pay,95.56000,1,Not Returned,Returning,2025-07-20,10
ORD-100253,West,San Francisco,Toys,Debit Card,102.67000,3,Not Returned,Returning,2025-07-19,10
ORD-100254,Midwest,Detroit,Electronics,Buy Now Pay Later,188.40000,1,Not Returned,New,2024-10-13,5
ORD-100255,West,Las Vegas,Toys,Paypal,31.15000,1,Not Returned,New,2024-12-12,10
ORD-100256,West,Los Angeles,Home,Debit Card,74.50000,1,Not Returned,Returning,2024-06-17,10
ORD-100257,Northeast,Newark,Pet Supplies,Gift Card,133.66000,1,Not Returned,Returning,2024-07-12,0
ORD-100258,South,Dallas,Fashion,Credit Card,65.77000,2,Not Returned,New,2025-10-20,0
ORD-100259,Midwest,Indianapolis,Pet Supplies,Apple Pay,55.26000,1,Not Returned,Returning,2025-06-06,20
ORD-100260,Midwest,Chicago,Fashion,Gift Card,87.67000,1,Not Returned,New,2024-12-08,25
ORD-100261,Northeast,Newark,Electronics,Debit Card,190.96000,1,Not Returned,Loyal,2025-04-18,10
ORD-100262,Northeast,Pittsburgh,Pet Supplies,,22.11000,1,Not Returned,Returning,2025-08-05,10
ORD-100263,West,San Diego,Home,Apple Pay,187.39000,3,Not Returned,Loyal,2025-10-10,5
ORD-100264,Northeast,Newark,Electronics,Credit Card,270.28000,1,Returned,New,2025-10-15,20
ORD-100265,South,Dallas,Electronics,Credit Card,275.75000,2,Not Returned,Returning,2024-07-28,0
ORD-100266,Midwest,Indianapolis,Sports,Debit Card,126.24000,2,Not Returned,Returning,2024-12-09,25
ORD-100267,South,Charlotte,Electronics,Credit Card,132.10000,1,Returned,Returning,2024-10-04,0
